	Cluster	Sex	Side	Cell_Type	Cell_Type_Max	Cell_Type_Max_COUNTS	Marker
Male_R2-17239	3	Male	Right	Neuroepithelial	4.030181983	4	Sox2
Male_R2-17240	2	Male	Right	Microglia	0.680808214	10	Cx3cr1
Male_R2-17242	3	Male	Right	Endothelial	2.886560042	8	Nostrin
Male_R2-17243	0	Male	Right	Astrocyte	1.540876761	16	Gfap
Male_R2-17257	1	Male	Right	Microglia	0.992613566	11	Tmem119
Male_R2-17261	2	Male	Right	Erythroblast	10	24	Lmnb1
Male_R2-17262	8	Male	Right	Ependymal	6.107474312	5	Zmynd10
Male_R2-17263	0	Male	Right	Astrocyte	1.829241555	27	Slc1a3
Male_R2-17265	8	Male	Right	Neuroepithelial	2.958308623	7	Notch1
Male_R2-17272	6	Male	Right	Endothelial	2.318904409	4	Emcn
Male_R2-17291	2	Male	Right	Neuroepithelial	2.532836005	8	Sox2
Male_R2-17296	2	Male	Right	Astrocyte	2.567220538	11	Gfap
Male_R2-17300	0	Male	Right	Reticulocyte	1.713627488	26	Ruvbl1
Male_R2-17301	2	Male	Right	Microglia	1.589996388	9	Tmem119
Male_R2-17304	6	Male	Right	Platelets	7.373326448	1	Ccl5
Male_R2-17307	0	Male	Right	Microglia	1.799602596	22	Cd68
Male_R2-17311	0	Male	Right	Neuron	4.555904897	10	Nefl
Male_R2-17316	7	Male	Right	Astrocyte	5.318962784	54	Fgfr3
Male_R2-17317	2	Male	Right	Microglia	2.009911276	16	Cd68
Male_R2-17318	1	Male	Right	Microglia	1.606456138	18	Tmem119
Male_R2-17323	2	Male	Right	Microglia	1.799989195	18	Tmem119
Male_R2-17325	1	Male	Right	Neuroepithelial	1.781630908	14	Notch1
Male_R2-17333	1	Male	Right	Astrocyte	2.01127986	18	Gfap
Male_R2-17336	1	Male	Right	Reticulocyte	4.000652727	13	Ruvbl1
Male_R2-17344	2	Male	Right	Microglia	2.114489248	18	Cd40
Male_R2-17345	12	Male	Right	Microglia	3.508961754	27	Cd68
Male_R2-17346	2	Male	Right	Neuroepithelial	1.464724573	5	Notch1
Male_R2-17348	3	Male	Right	Endothelial	3.296878078	7	Nostrin
Male_R2-17351	0	Male	Right	Reticulocyte	3.41808782	18	Ruvbl1
Male_R2-17352	2	Male	Right	Microglia	2.742502062	20	Cd68
Male_R2-17364	2	Male	Right	Microglia	1.104659389	15	Cx3cr1
Male_R2-17365	4	Male	Right	Immune	1.048277563	6	Tyrobp
Male_R2-17368	0	Male	Right	Astrocyte	1.242198667	20	Gfap
Male_R2-17372	2	Male	Right	Microglia	1.810919676	28	Cd68
Male_R2-17381	4	Male	Right	Immune	0.959193628	9	Tyrobp
Male_R2-17382	2	Male	Right	Neuroepithelial	1.238846606	24	Notch1
Male_R2-17393	1	Male	Right	Astrocyte	1.488975142	16	Gfap
Male_R2-17394	1	Male	Right	Astrocyte	2.431974206	19	Slc1a3
Male_R2-17399	7	Male	Right	Astrocyte	9.327687229	13	Fgfr3
Male_R2-17406	7	Male	Right	Astrocyte	7.073420019	51	Fgfr3
Male_R2-17407	2	Male	Right	Microglia	2.040457667	12	Cd68
Male_R2-17408	1	Male	Right	Microglia	1.895678767	23	Cd68
Male_R2-17409	0	Male	Right	Neuron	3.315827225	8	Mapt
Male_R2-17413	0	Male	Right	Reticulocyte	2.065989253	12	Ruvbl1
Male_R2-17420	7	Male	Right	Astrocyte	6.189933301	18	Gjb6
Male_R2-17422	11	Male	Right	Neuroepithelial	6.489672742	36	Sox2
Male_R2-17423	8	Male	Right	Neuroepithelial	2.395623367	2	Notch1
Male_R2-17424	4	Male	Right	Astrocyte	1.937679041	10	Aqp4
Male_R2-17430	0	Male	Right	Astrocyte	1.808721649	33	Slc1a3
Male_R2-17435	0	Male	Right	Erythroblast	7.50348793	13	Lmnb1
Male_R2-17437	7	Male	Right	Astrocyte	4.452746251	66	Aqp4
Male_R2-17441	0	Male	Right	Reticulocyte	2.086260513	21	Ruvbl1
Male_R2-17447	2	Male	Right	Neuron	2.261714017	11	Mapt
Male_R2-17451	2	Male	Right	Microglia	2.437950526	16	Cd40
Male_R2-17453	6	Male	Right	Astrocyte	2.222064801	5	Gjb6
Male_R2-17456	3	Male	Right	Endothelial	2.886003989	12	Emcn
Male_R2-17458	4	Male	Right	Astrocyte	3.130153037	4	Gfap
Male_R2-17461	6	Male	Right	Neuron	3.812371218	7	Mapt
Male_R2-17465	3	Male	Right	Neuroepithelial	7.446407207	6	Hes1
Male_R2-17470	4	Male	Right	Neuron	4.104300982	1	Map2
Male_R2-17474	6	Male	Right	Neuroepithelial	2.783517934	4	Notch1
Male_R2-17476	0	Male	Right	Microglia	2.040457667	25	Cd68
Male_R2-17490	4	Male	Right	Astrocyte	2.387742957	7	Gfap
Male_R2-17492	3	Male	Right	Endothelial	2.359919441	2	Nostrin
Male_R2-17499	0	Male	Right	Astrocyte	2.102787006	40	Gfap
Male_R2-17502	1	Male	Right	Astrocyte	1.45195917	8	Slc1a3
Male_R2-17534	1	Male	Right	Neuron	6.557262608	17	Tubb3
Male_R2-17537	1	Male	Right	Oligodendrocyte	1.250841894	17	Mbp
Male_R2-17540	2	Male	Right	Neuron	10	4	Slc12a5
Male_R2-17548	1	Male	Right	Neuron	2.739060996	19	Mapt
Male_R2-17550	1	Male	Right	Neuron	2.766736465	36	Gap43
Male_R2-17560	3	Male	Right	Oligodendrocyte	10	8	Opalin
Male_R2-17564	0	Male	Right	Microglia	3.275149748	13	Cd40
Male_R2-17565	1	Male	Right	Oligodendrocyte	10	15	Gjc2
Male_R2-17568	10	Male	Right	Neuron	-0.046028861	2	Gabra1
Male_R2-17571	0	Male	Right	Erythroblast	5.840708521	19	Lmnb1
Male_R2-17573	0	Male	Right	Neuron	3.018543248	11	Mapt
Male_R2-17579	1	Male	Right	Astrocyte	1.406998035	16	Slc1a3
Male_R2-17585	2	Male	Right	Neuron	4.620656832	19	Syt1
Male_R2-17588	1	Male	Right	Microglia	2.530491044	14	Cd68
Male_R2-17590	8	Male	Right	Neuroepithelial	6.038625378	3	Hes1
Male_R2-17591	2	Male	Right	Microglia	2.041336366	16	Cd68
Male_R2-17594	1	Male	Right	Microglia	1.507938182	19	Tmem119
Male_R2-17597	3	Male	Right	Endothelial	2.845771684	5	Nostrin
Male_R2-17604	2	Male	Right	Microglia	3.702396911	15	Cd68
Male_R2-17610	1	Male	Right	Microglia	2.524297603	21	Cd40
Male_R2-17616	7	Male	Right	Astrocyte	3.813170038	49	Aqp4
Male_R2-17617	1	Male	Right	Astrocyte	1.255886291	13	Slc1a3
Male_R2-17621	9	Male	Right	Neuroepithelial	10	9	Sox10
Male_R2-17625	0	Male	Right	Astrocyte	1.318984853	14	Gfap
Male_R2-17638	0	Male	Right	Astrocyte	0.677135606	14	Slc1a3
Male_R2-17644	6	Male	Right	Endothelial	2.584547451	7	Nostrin
Male_R2-17653	8	Male	Right	Oligodendrocyte	2.449838137	2	Mbp
Male_R2-17654	9	Male	Right	Neuron	6.069666214	14	Syt1
Male_R2-17655	9	Male	Right	Neuroepithelial	4.267862008	53	Hes1
Male_R2-17664	6	Male	Right	Neuroepithelial	3.850935907	5	Hes1
Male_R2-17670	1	Male	Right	Microglia	2.388211333	16	Cd68
Male_R2-17673	8	Male	Right	Neuron	10	1	Slc12a5
Male_R2-17680	1	Male	Right	Reticulocyte	1.974711432	20	Ruvbl1
Male_R2-17688	0	Male	Right	Ependymal	4.916713411	16	Zmynd10
Male_R2-17690	8	Male	Right	Neuroepithelial	3.453756263	2	Notch1
Male_R2-17698	3	Male	Right	Endothelial	2.14221964	8	Emcn
Male_R2-17701	8	Male	Right	Neuroepithelial	2.545844525	1	Notch1
Male_R2-17708	8	Male	Right	Neuroepithelial	2.532088972	2	Notch1
Male_R2-17709	1	Male	Right	Astrocyte	1.153550785	11	Aqp4
Male_R2-17714	2	Male	Right	Neuron	3.068290277	24	Mapt
Male_R2-17718	2	Male	Right	Neuroepithelial	1.052462152	13	Notch1
Male_R2-17719	1	Male	Right	Microglia	1.852264849	19	Cd68
Male_R2-17729	1	Male	Right	Astrocyte	2.448395577	20	Slc1a3
Male_R2-17735	7	Male	Right	Astrocyte	3.987866178	13	Aldh1l1
Male_R2-17736	0	Male	Right	Microglia	1.516343588	17	Cd40
Male_R2-17746	1	Male	Right	Reticulocyte	1.740142456	17	Ruvbl1
Male_R2-17753	0	Male	Right	Oligodendrocyte	2.031126749	40	Mbp
Male_R2-17754	10	Male	Right	Neuron	-0.046028861	0	Gabra1
Male_R2-17755	0	Male	Right	Microglia	2.705123761	11	Cd40
Male_R2-17765	1	Male	Right	Neuroepithelial	1.000456878	10	Notch1
Male_R2-17767	7	Male	Right	Neuron	4.899088458	15	Mapt
Male_R2-17783	0	Male	Right	Neuron	2.6124404	20	Nefl
Male_R2-17790	1	Male	Right	Astrocyte	2.54527171	20	Gjb6
Male_R2-17791	9	Male	Right	Ependymal	3.525647968	16	Zmynd10
Male_R2-17794	0	Male	Right	Neuron	1.811163147	18	Mapt
Male_R2-17796	1	Male	Right	Oligodendrocyte	1.273299409	17	Mbp
Male_R2-17799	8	Male	Right	Neuron	10	2	Rbfox3
Male_R2-17808	0	Male	Right	Neuroepithelial	1.620168365	25	Notch1
Male_R2-17810	3	Male	Right	Endothelial	2.283447554	3	Nostrin
Male_R2-17823	2	Male	Right	Reticulocyte	2.330456687	9	Ruvbl1
Male_R2-17836	1	Male	Right	Reticulocyte	2.182550497	20	Ruvbl1
Male_R2-17844	0	Male	Right	Astrocyte	1.637541952	16	Slc1a3
Male_R2-17849	10	Male	Right	Platelets	10	103	Ccl5
Male_R2-17855	3	Male	Right	Endothelial	2.634740071	8	Nostrin
Male_R2-17856	2	Male	Right	Microglia	1.085382193	24	Tmem119
Male_R2-17858	7	Male	Right	Astrocyte	3.944170918	25	Aqp4
Male_R2-17859	1	Male	Right	Microglia	1.087669647	17	Tmem119
Male_R2-17863	3	Male	Right	Endothelial	3.423893053	8	Emcn
Male_R2-17868	0	Male	Right	Oligodendrocyte	10	32	Gjc2
Male_R2-17875	11	Male	Right	Neuroepithelial	8.650905928	22	Sox2
Male_R2-17881	0	Male	Right	Microglia	1.562846851	23	Cd40
Male_R2-17885	1	Male	Right	Oligodendrocyte	0.97696985	19	Mbp
Male_R2-17892	7	Male	Right	Astrocyte	5.535063333	24	Gjb6
Male_R2-17897	4	Male	Right	Oligodendrocyte	1.451830643	15	Mbp
Male_R2-17898	8	Male	Right	Neuroepithelial	3.4744965	3	Notch1
Male_R2-17900	3	Male	Right	Endothelial	3.025905324	4	Nostrin
Male_R2-17904	3	Male	Right	Endothelial	3.318325999	8	Nostrin
Male_R2-17911	2	Male	Right	Neuron	2.33514568	7	Map2
Male_R2-17914	0	Male	Right	Neuron	7.578545569	8	Rbfox3
Male_R2-17934	4	Male	Right	Neuron	7.006906298	10	Nefl
Male_R2-17936	0	Male	Right	Microglia	4.458245392	11	Cd40
Male_R2-17947	1	Male	Right	Neuroepithelial	1.171310454	15	Notch1
Male_R2-17951	2	Male	Right	Astrocyte	2.538284909	17	Gjb6
Male_R2-17957	10	Male	Right	Neuroepithelial	1.817107095	7	Notch1
Male_R2-17958	0	Male	Right	Microglia	1.646543565	9	Tmem119
Male_R2-17959	2	Male	Right	Astrocyte	1.279944447	15	Gfap
Male_R2-17964	0	Male	Right	Astrocyte	2.521472368	28	Gjb6
Male_R2-17967	6	Male	Right	Endothelial	2.706010645	7	Nostrin
Male_R2-17970	0	Male	Right	Microglia	1.39276562	27	Cd40
Male_R2-17973	1	Male	Right	Reticulocyte	2.287980947	12	Ruvbl1
Male_R2-17975	6	Male	Right	Endothelial	2.481405965	7	Nostrin
Male_R2-17983	0	Male	Right	Astrocyte	2.013322212	23	Gfap
Male_R2-17984	1	Male	Right	Ependymal	4.705458396	14	Zmynd10
Male_R2-17987	3	Male	Right	Endothelial	2.936054397	6	Nostrin
