	Cluster	Sex	Side	Cell_Type	Cell_Type_Max	Cell_Type_Max_COUNTS	Marker
Male_L1-8642	1	Male	Left	Reticulocyte	2.576170723	28	Ruvbl1
Male_L1-8643	3	Male	Left	Endothelial	3.630600217	20	Emcn
Male_L1-8644	13	Male	Left	Neuron	6.128525034	3	Rbfox3
Male_L1-8653	1	Male	Left	Astrocyte	1.7619087	49	Slc1a3
Male_L1-8654	1	Male	Left	Microglia	2.89603486	31	Cd68
Male_L1-8672	2	Male	Left	Astrocyte	2.052895013	30	Slc1a3
Male_L1-8673	4	Male	Left	Neuron	5.355354338	26	Thy1
Male_L1-8680	0	Male	Left	Ependymal	2.534482832	24	Zmynd10
Male_L1-8686	2	Male	Left	Erythroblast	3.483495027	31	Lmnb1
Male_L1-8688	4	Male	Left	Microglia	3.361182439	8	Cd40
Male_L1-8700	13	Male	Left	Neuron	6.853580668	1	Thy1
Male_L1-8704	1	Male	Left	Microglia	1.616329524	12	Cd68
Male_L1-8707	4	Male	Left	Oligodendrocyte	10	14	Opalin
Male_L1-8709	1	Male	Left	Microglia	0.690123861	43	Cx3cr1
Male_L1-8727	12	Male	Left	Microglia	5.504226731	41	Cd68
Male_L1-8729	1	Male	Left	Neuron	1.536683958	50	Nefl
Male_L1-8731	1	Male	Left	Microglia	1.568247086	49	Cd40
Male_L1-8739	0	Male	Left	Erythroblast	2.771022558	48	Lmnb1
Male_L1-8756	4	Male	Left	Microglia	3.243909939	16	Cd68
Male_L1-8758	0	Male	Left	Microglia	0.606957768	43	Cx3cr1
Male_L1-8761	1	Male	Left	Astrocyte	0.844775497	3	Slc1a3
Male_L1-8766	4	Male	Left	Immune	1.124612412	9	Tyrobp
Male_L1-8768	0	Male	Left	Microglia	1.46896815	64	Tmem119
Male_L1-8772	0	Male	Left	Ependymal	2.563873229	28	Zmynd10
Male_L1-8777	4	Male	Left	Astrocyte	3.182276174	7	Gfap
Male_L1-8784	1	Male	Left	Microglia	1.39294956	22	Cd68
Male_L1-8802	4	Male	Left	Immune	0.721530105	4	Tyrobp
Male_L1-8803	1	Male	Left	Microglia	0.568953395	27	Cx3cr1
Male_L1-8809	8	Male	Left	Neuroepithelial	2.480966061	4	Notch1
Male_L1-8811	1	Male	Left	Neuron	6.325562306	16	Thy1
Male_L1-8815	0	Male	Left	Neuron	2.330513567	64	Gap43
Male_L1-8817	4	Male	Left	Neuron	9.402304193	5	Gap43
Male_L1-8819	8	Male	Left	Neuron	5.077859685	6	Thy1
Male_L1-8820	3	Male	Left	Neuroepithelial	4.809231467	28	Hes1
Male_L1-8829	0	Male	Left	Microglia	1.104971234	32	Tmem119
Male_L1-8836	1	Male	Left	Microglia	1.364714318	40	Tmem119
Male_L1-8839	0	Male	Left	Neuron	3.208472193	24	Thy1
Male_L1-8856	2	Male	Left	Erythroblast	3.640219608	34	Lmnb1
Male_L1-8857	1	Male	Left	Astrocyte	0.988066606	23	Slc1a3
Male_L1-8859	3	Male	Left	Platelets	8.364871944	15	Ccl5
Male_L1-8864	3	Male	Left	Endothelial	3.249968426	7	Emcn
Male_L1-8869	1	Male	Left	Microglia	1.484152041	27	Tmem119
Male_L1-8880	1	Male	Left	Microglia	1.864729826	24	Cd68
Male_L1-8890	1	Male	Left	Neuron	2.336701273	33	Syt1
Male_L1-8891	0	Male	Left	Neuron	1.873317401	47	Nefl
Male_L1-8899	0	Male	Left	Microglia	0.72170655	40	Cd40
Male_L1-8909	1	Male	Left	Microglia	1.056117196	47	Cd40
Male_L1-8911	14	Male	Left	Neuron	6.414812558	10	Nefl
Male_L1-8912	1	Male	Left	Microglia	0.746713517	31	Cx3cr1
Male_L1-8915	8	Male	Left	Neuroepithelial	3.630581838	5	Notch1
Male_L1-8925	1	Male	Left	Oligodendrocyte	1.578650711	30	Mbp
Male_L1-8926	7	Male	Left	Astrocyte	7.005214829	20	Gfap
Male_L1-8927	2	Male	Left	Erythroblast	2.96788046	61	Lmnb1
Male_L1-8934	0	Male	Left	Oligodendrocyte	1.688803019	12	Mbp
Male_L1-8941	4	Male	Left	Astrocyte	1.129182522	14	Aqp4
Male_L1-8952	0	Male	Left	Reticulocyte	1.765540256	65	Ruvbl1
Male_L1-8970	3	Male	Left	Endothelial	3.844197796	14	Emcn
Male_L1-8978	0	Male	Left	Neuroepithelial	1.528031281	34	Sox2
Male_L1-8987	5	Male	Left	Microglia	2.757496527	52	Cd40
Male_L1-8989	4	Male	Left	Oligodendrocyte	1.697727003	6	Mbp
Male_L1-8990	0	Male	Left	Neuron	1.939978334	22	Gap43
Male_L1-8994	3	Male	Left	Endothelial	3.87755263	18	Emcn
Male_L1-8995	1	Male	Left	Microglia	1.317712929	41	Tmem119
Male_L1-9000	0	Male	Left	Astrocyte	1.53789557	55	Slc1a3
Male_L1-9002	0	Male	Left	Neuroepithelial	1.201466037	49	Notch1
Male_L1-9006	7	Male	Left	Astrocyte	5.026905277	20	Gjb6
Male_L1-9010	2	Male	Left	Astrocyte	1.328171432	34	Slc1a3
Male_L1-9019	0	Male	Left	Reticulocyte	0.933001581	35	Ruvbl1
Male_L1-9024	4	Male	Left	Immune	1.300891357	11	Tyrobp
Male_L1-9054	13	Male	Left	Neuron	3.525647541	1	Nefl
Male_L1-9055	0	Male	Left	Oligodendrocyte	1.429790057	46	Mbp
Male_L1-9057	0	Male	Left	Microglia	1.089636761	34	Cd68
Male_L1-9058	1	Male	Left	Microglia	2.574395665	27	Tmem119
Male_L1-9062	8	Male	Left	Neuroepithelial	2.191615517	3	Notch1
Male_L1-9063	4	Male	Left	Astrocyte	2.46965656	11	Gfap
Male_L1-9064	3	Male	Left	Neuroepithelial	2.847251752	7	Notch1
Male_L1-9069	4	Male	Left	Microglia	2.946925389	10	Cd68
Male_L1-9072	1	Male	Left	Oligodendrocyte	1.473767362	17	Mbp
Male_L1-9086	3	Male	Left	Platelets	4.138576625	12	Ccl5
Male_L1-9088	0	Male	Left	Platelets	2.743889597	18	Ccl5
Male_L1-9089	0	Male	Left	Ependymal	3.171040866	22	Zmynd10
Male_L1-9094	4	Male	Left	Astrocyte	1.656734335	8	S100b
Male_L1-9095	0	Male	Left	Ependymal	2.511238629	26	Zmynd10
Male_L1-9097	1	Male	Left	Neuron	7.227915557	38	Rbfox3
Male_L1-9103	4	Male	Left	Immune	0.855635692	6	Tyrobp
Male_L1-9115	0	Male	Left	Microglia	2.112719521	44	Cd40
Male_L1-9116	4	Male	Left	Oligodendrocyte	2.006230316	9	Mbp
Male_L1-9120	0	Male	Left	Oligodendrocyte	7.252753385	29	Opalin
Male_L1-9125	3	Male	Left	Endothelial	2.825075339	13	Nostrin
Male_L1-9131	0	Male	Left	Astrocyte	1.551287872	33	Slc1a3
Male_L1-9139	0	Male	Left	Neuron	4.899596889	24	Thy1
Male_L1-9142	11	Male	Left	Oligodendrocyte	10	42	Gjc2
Male_L1-9147	4	Male	Left	Immune	1.181567328	34	Tyrobp
Male_L1-9150	4	Male	Left	Microglia	4.948469551	5	Cd40
Male_L1-9154	2	Male	Left	Microglia	0.768720035	27	Cx3cr1
Male_L1-9155	0	Male	Left	Microglia	0.936848924	40	Tmem119
Male_L1-9166	4	Male	Left	Astrocyte	1.63362858	1	S100b
Male_L1-9169	0	Male	Left	Microglia	1.93413053	27	Tmem119
Male_L1-9173	0	Male	Left	Erythroblast	4.303069395	26	Lmnb1
Male_L1-9177	1	Male	Left	Neuron	4.232610382	40	Rbfox3
Male_L1-9183	0	Male	Left	Immune	0.794794725	52	Tyrobp
Male_L1-9192	8	Male	Left	Neuroepithelial	6.186946935	4	Hes1
Male_L1-9193	3	Male	Left	Neuroepithelial	3.556790149	6	Notch1
Male_L1-9194	4	Male	Left	Immune	1.147312435	18	Tyrobp
Male_L1-9211	4	Male	Left	Neuron	10	2	Thy1
Male_L1-9224	3	Male	Left	Endothelial	2.071507752	6	Emcn
Male_L1-9227	3	Male	Left	Platelets	4.566305556	18	Ccl5
Male_L1-9228	0	Male	Left	Astrocyte	1.642113773	62	Slc1a3
Male_L1-9232	1	Male	Left	Oligodendrocyte	5.362560793	49	Mag
Male_L1-9242	1	Male	Left	Astrocyte	1.333084325	33	Slc1a3
Male_L1-9245	2	Male	Left	Oligodendrocyte	1.734613037	4	Mbp
Male_L1-9246	0	Male	Left	Microglia	1.652413949	77	Cd40
Male_L1-9247	4	Male	Left	Microglia	4.925343032	8	Cd40
Male_L1-9252	4	Male	Left	Immune	0.821240444	9	Tyrobp
Male_L1-9254	4	Male	Left	Immune	1.132390718	6	Tyrobp
Male_L1-9272	12	Male	Left	Microglia	5.676004914	4	Cd68
Male_L1-9274	4	Male	Left	Immune	0.536797357	3	Tyrobp
Male_L1-9276	2	Male	Left	Astrocyte	1.033117258	49	Slc1a3
Male_L1-9278	4	Male	Left	Immune	1.367151171	28	Tyrobp
Male_L1-9281	0	Male	Left	Erythroblast	4.161754378	38	Lmnb1
Male_L1-9283	1	Male	Left	Neuron	1.685476312	15	Mapt
Male_L1-9284	3	Male	Left	Endothelial	4.407847195	27	Emcn
Male_L1-9285	1	Male	Left	Astrocyte	1.885210017	43	Slc1a3
Male_L1-9286	2	Male	Left	Microglia	1.097151122	22	Tmem119
Male_L1-9291	2	Male	Left	Reticulocyte	2.158682378	18	Ruvbl1
Male_L1-9296	0	Male	Left	Reticulocyte	1.141880212	37	Ruvbl1
Male_L1-9307	2	Male	Left	Astrocyte	1.175948105	32	Slc1a3
Male_L1-9323	3	Male	Left	Platelets	4.903593153	5	Ccl5
Male_L1-9329	0	Male	Left	Erythroblast	2.509690718	52	Lmnb1
Male_L1-9331	4	Male	Left	Oligodendrocyte	2.633781467	23	Mbp
Male_L1-9334	0	Male	Left	Erythroblast	2.159813114	48	Lmnb1
Male_L1-9338	1	Male	Left	Immune	1.0725255	63	Tyrobp
Male_L1-9343	0	Male	Left	Microglia	1.024797968	46	Tmem119
Male_L1-9347	4	Male	Left	Microglia	4.144327336	7	Cd68
Male_L1-9349	9	Male	Left	Neuroepithelial	5.327765911	16	Hes1
Male_L1-9350	0	Male	Left	Astrocyte	1.616103066	26	Slc1a3
Male_L1-9354	4	Male	Left	Oligodendrocyte	2.453851794	3	Mbp
Male_L1-9364	1	Male	Left	Neuron	3.287159051	24	Nefl
Male_L1-9367	4	Male	Left	Astrocyte	5.977350282	9	Gjb6
Male_L1-9375	3	Male	Left	Ependymal	3.664559278	10	Zmynd10
Male_L1-9376	4	Male	Left	Immune	1.281343264	20	Tyrobp
Male_L1-9379	4	Male	Left	Astrocyte	0.842734844	5	Slc1a3
Male_L1-9384	1	Male	Left	Microglia	1.662331767	36	Tmem119
Male_L1-9387	0	Male	Left	Reticulocyte	1.315230892	32	Ruvbl1
Male_L1-9405	4	Male	Left	Microglia	4.931029217	5	Cd68
Male_L1-9406	0	Male	Left	Astrocyte	1.672391589	34	Slc1a3
Male_L1-9409	10	Male	Left	Reticulocyte	2.052957391	2	Ruvbl1
Male_L1-9410	1	Male	Left	Reticulocyte	0.833577602	36	Ruvbl1
Male_L1-9421	1	Male	Left	Ependymal	2.714316359	40	Zmynd10
Male_L1-9425	4	Male	Left	Immune	1.206668503	12	Tyrobp
Male_L1-9433	0	Male	Left	Neuron	2.993969386	34	Tubb3
Male_L1-9444	3	Male	Left	Endothelial	2.716552039	9	Emcn
Male_L1-9447	4	Male	Left	Oligodendrocyte	2.207030556	2	Mbp
Male_L1-9448	4	Male	Left	Microglia	1.569764481	12	Tmem119
Male_L1-9451	0	Male	Left	Neuron	1.900767415	32	Nefl
Male_L1-9458	0	Male	Left	Oligodendrocyte	1.603135783	3	Mbp
Male_L1-9471	1	Male	Left	Astrocyte	0.857786224	41	Slc1a3
Male_L1-9473	10	Male	Left	Erythroblast	4.999685219	2	Lmnb1
Male_L1-9474	0	Male	Left	Microglia	1.516411907	60	Cd40
Male_L1-9477	4	Male	Left	Microglia	4.983660242	5	Cd68
Male_L1-9481	9	Male	Left	Neuron	10	14	Syt1
Male_L1-9486	2	Male	Left	Neuron	2.449941458	20	Nefl
Male_L1-9492	0	Male	Left	Microglia	2.355817594	51	Cd68
Male_L1-9501	3	Male	Left	Endothelial	3.17595534	15	Nostrin
Male_L1-9503	1	Male	Left	Neuron	2.900607781	42	Syt1
Male_L1-9505	13	Male	Left	Erythroblast	7.946439419	3	Lmnb1
Male_L1-9516	0	Male	Left	Astrocyte	1.92336338	40	Slc1a3
Male_L1-9517	1	Male	Left	Erythroblast	7.510189338	33	Lmnb1
Male_L1-9520	1	Male	Left	Reticulocyte	1.468431455	36	Ruvbl1
Male_L1-9521	4	Male	Left	Immune	0.859356858	7	Tyrobp
Male_L1-9524	1	Male	Left	Microglia	1.474810144	22	Cd68
Male_L1-9525	1	Male	Left	Microglia	0.484149992	24	Cx3cr1
Male_L1-9531	0	Male	Left	Neuron	2.750167881	24	Nefl
Male_L1-9536	3	Male	Left	Endothelial	3.140129487	12	Nostrin
Male_L1-9537	4	Male	Left	Microglia	1.997053328	7	Tmem119
Male_L1-9548	3	Male	Left	Neuron	-0.046028861	0	Gabra1
Male_L1-9550	2	Male	Left	Erythroblast	3.385818489	43	Lmnb1
Male_L1-9569	0	Male	Left	Microglia	1.658023002	54	Cd40
Male_L1-9581	8	Male	Left	Microglia	3.640672956	1	Cd40
Male_L1-9584	0	Male	Left	Microglia	1.02136486	34	Cx3cr1
Male_L1-9585	4	Male	Left	Neuron	2.680356188	11	Map2
Male_L1-9595	4	Male	Left	Reticulocyte	4.808862009	4	Ruvbl1
Male_L1-9599	1	Male	Left	Oligodendrocyte	10	41	Mog
Male_L1-9617	4	Male	Left	Immune	1.679482609	22	Tyrobp
Male_L1-9621	4	Male	Left	Immune	1.391672275	14	Tyrobp
Male_L1-9636	4	Male	Left	Neuron	2.871329974	14	Map2
Male_L1-9637	0	Male	Left	Microglia	1.640924331	49	Tmem119
Male_L1-9638	4	Male	Left	Neuron	6.865047357	7	Gap43
Male_L1-9645	0	Male	Left	Microglia	1.59686051	31	Cd68
Male_L1-9659	4	Male	Left	Immune	0.940133738	6	Tyrobp
Male_L1-9663	4	Male	Left	Immune	0.711139063	6	Tyrobp
Male_L1-9675	0	Male	Left	Neuron	2.029188143	36	Nefl
Male_L1-9679	1	Male	Left	Microglia	2.242721991	30	Cd68
Male_L1-9684	1	Male	Left	Microglia	1.297646412	39	Tmem119
Male_L1-9690	4	Male	Left	Oligodendrocyte	1.817746155	6	Mbp
Male_L1-9703	1	Male	Left	Microglia	1.068490988	39	Cd68
Male_L1-9708	0	Male	Left	Microglia	2.102714321	26	Cd40
Male_L1-9711	8	Male	Left	Neuroepithelial	3.13076233	5	Notch1
Male_L1-9713	5	Male	Left	Neuron	2.171262348	34	Gap43
Male_L1-9719	2	Male	Left	Astrocyte	1.35801996	6	Slc1a3
Male_L1-9724	1	Male	Left	Microglia	2.096870704	27	Cd40
Male_L1-9727	3	Male	Left	Neuron	4.479232908	11	Tubb3
Male_L1-9730	0	Male	Left	Microglia	1.696057139	43	Cd40
Male_L1-9732	1	Male	Left	Microglia	0.816213409	41	Cx3cr1
Male_L1-9733	0	Male	Left	Neuroepithelial	1.031858206	12	Notch1
Male_L1-9735	0	Male	Left	Neuron	2.045549459	50	Nefl
Male_L1-9739	0	Male	Left	Neuron	1.860866497	30	Nefl
Male_L1-9744	1	Male	Left	Oligodendrocyte	10	38	Gjc2
Male_L1-9748	0	Male	Left	Microglia	1.179820846	27	Cd40
Male_L1-9761	6	Male	Left	Neuroepithelial	4.618566139	7	Hes1
Male_L1-9762	4	Male	Left	Neuron	10	4	Tubb3
Male_L1-9765	0	Male	Left	Microglia	0.740325055	26	Tmem119
Male_L1-9766	12	Male	Left	Microglia	1.90467405	24	Cd68
Male_L1-9775	1	Male	Left	Microglia	3.165760116	28	Cd40
Male_L1-9780	0	Male	Left	Oligodendrocyte	0.888379053	38	Mbp
Male_L1-9782	1	Male	Left	Neuron	2.459498248	20	Nefl
Male_L1-9789	2	Male	Left	Reticulocyte	2.516900175	40	Ruvbl1
Male_L1-9790	2	Male	Left	Reticulocyte	3.297622729	20	Ruvbl1
Male_L1-9792	4	Male	Left	Oligodendrocyte	1.676895541	4	Mbp
Male_L1-9797	4	Male	Left	Erythroblast	7.441170638	10	Lmnb1
Male_L1-9798	1	Male	Left	Microglia	1.01847211	31	Cx3cr1
Male_L1-9800	0	Male	Left	Microglia	2.152571519	28	Cd68
Male_L1-9803	4	Male	Left	Immune	0.180281362	2	Tyrobp
Male_L1-9807	2	Male	Left	Neuron	3.109892598	13	Nefl
Male_L1-9815	1	Male	Left	Reticulocyte	1.215317349	23	Ruvbl1
Male_L1-9816	4	Male	Left	Microglia	4.208922704	21	Cd68
Male_L1-9823	1	Male	Left	Astrocyte	1.239474537	23	S100b
Male_L1-9827	0	Male	Left	Neuron	4.120232058	41	Rbfox3
Male_L1-9830	1	Male	Left	Neuron	0.976758422	67	Map2
Male_L1-9832	1	Male	Left	Reticulocyte	1.237040991	30	Ruvbl1
Male_L1-9837	0	Male	Left	Astrocyte	1.833522371	49	Slc1a3
Male_L2-9	2	Male	Left	Astrocyte	2.986649591	42	Gfap
Male_L2-28	3	Male	Left	Endothelial	3.436082751	18	Nostrin
Male_L2-34	3	Male	Left	Platelets	3.415598185	7	Ccl5
Male_L2-46	0	Male	Left	Astrocyte	1.808682129	45	Gfap
Male_L2-51	0	Male	Left	Reticulocyte	2.460888505	32	Ruvbl1
Male_L2-56	6	Male	Left	Endothelial	3.468755391	3	Emcn
Male_L2-58	2	Male	Left	Reticulocyte	2.567357287	40	Ruvbl1
Male_L2-63	4	Male	Left	Oligodendrocyte	1.806018094	9	Mbp
Male_L2-65	1	Male	Left	Microglia	1.300703036	26	Tmem119
Male_L2-72	1	Male	Left	Neuron	2.240080112	24	Nefl
Male_L2-77	5	Male	Left	Astrocyte	1.305298617	28	Slc1a3
Male_L2-92	0	Male	Left	Microglia	0.896869816	28	Cd40
Male_L2-96	1	Male	Left	Microglia	1.236383829	34	Cd68
Male_L2-114	1	Male	Left	Microglia	2.105619958	43	Tmem119
Male_L2-116	0	Male	Left	Microglia	1.622933238	22	Cd68
Male_L2-127	4	Male	Left	Neuron	-0.046028861	1	Gabra1
Male_L2-143	4	Male	Left	Microglia	1.571029513	3	Tmem119
Male_L2-148	1	Male	Left	Oligodendrocyte	1.09186068	22	Mbp
Male_L2-153	0	Male	Left	Oligodendrocyte	1.504892614	40	Mbp
Male_L2-157	0	Male	Left	Microglia	1.844116236	26	Cd40
Male_L2-160	1	Male	Left	Erythroblast	4.856683174	48	Lmnb1
Male_L2-163	4	Male	Left	Immune	1.187930525	15	Tyrobp
Male_L2-164	4	Male	Left	Immune	1.14125167	19	Tyrobp
Male_L2-165	4	Male	Left	Immune	1.293995823	8	Tyrobp
Male_L2-166	0	Male	Left	Neuron	8.098732457	7	Gap43
Male_L2-185	8	Male	Left	Neuron	7.668663512	1	Rbfox3
Male_L2-189	1	Male	Left	Neuron	1.877957948	11	Mapt
Male_L2-202	1	Male	Left	Microglia	3.700358632	5	Cd40
Male_L2-211	9	Male	Left	Neuron	3.664683694	3	Map2
Male_L2-226	7	Male	Left	Astrocyte	8.650364184	38	Gjb6
Male_L2-229	0	Male	Left	Oligodendrocyte	1.619343111	21	Mbp
Male_L2-230	3	Male	Left	Endothelial	3.480662998	12	Emcn
Male_L2-245	4	Male	Left	Reticulocyte	3.68338442	9	Ruvbl1
Male_L2-255	4	Male	Left	Astrocyte	1.384980659	13	S100b
Male_L2-260	3	Male	Left	Endothelial	3.320693132	13	Emcn
Male_L2-261	4	Male	Left	Microglia	4.608692787	6	Cd68
Male_L2-281	6	Male	Left	Neuron	8.246288926	3	Nefl
Male_L2-290	4	Male	Left	Neuron	10	10	Tubb3
Male_L2-293	2	Male	Left	Astrocyte	3.526402816	3	Gfap
Male_L2-318	2	Male	Left	Neuron	2.124968698	35	Gap43
Male_L2-324	0	Male	Left	Microglia	2.590714294	28	Cd40
Male_L2-326	0	Male	Left	Oligodendrocyte	2.581652134	26	Mbp
Male_L2-339	3	Male	Left	Neuroepithelial	3.111511342	8	Hes1
Male_L2-349	0	Male	Left	Microglia	3.474705039	27	Cd68
Male_L2-359	0	Male	Left	Microglia	0.971444223	53	Cx3cr1
Male_L2-365	0	Male	Left	Reticulocyte	1.263386239	37	Ruvbl1
Male_L2-377	3	Male	Left	Endothelial	3.234303596	13	Emcn
Male_L2-387	8	Male	Left	Neuroepithelial	2.626281426	3	Notch1
Male_L2-412	9	Male	Left	Neuron	10	2	Slc12a5
Male_L2-416	3	Male	Left	Neuroepithelial	4.586180669	5	Hes1
Male_L2-418	2	Male	Left	Neuron	5.675657264	10	Nefl
Male_L2-447	8	Male	Left	Neuron	5.603941838	2	Nefl
Male_L2-455	2	Male	Left	Microglia	1.960319776	34	Tmem119
Male_L2-460	1	Male	Left	Oligodendrocyte	2.666882371	2	Mbp
Male_L2-463	1	Male	Left	Reticulocyte	1.163782559	34	Ruvbl1
Male_L2-465	1	Male	Left	Astrocyte	1.318837033	30	Slc1a3
Male_L2-466	3	Male	Left	Endothelial	4.603389691	24	Emcn
Male_L2-487	6	Male	Left	Astrocyte	1.409461648	2	Slc1a3
Male_L2-490	8	Male	Left	Neuron	6.755940224	3	Thy1
Male_L2-500	4	Male	Left	Neuron	7.969652168	7	Thy1
Male_L2-509	3	Male	Left	Ependymal	3.274207983	7	Zmynd10
Male_L2-514	0	Male	Left	Neuroepithelial	1.395988519	41	Notch1
Male_L2-521	0	Male	Left	Microglia	1.886234263	24	Cd40
Male_L2-526	1	Male	Left	Reticulocyte	1.46308828	25	Ruvbl1
Male_L2-544	1	Male	Left	Microglia	3.730636208	48	Cd68
Male_L2-545	1	Male	Left	Neuron	1.716822441	39	Nefl
Male_L2-567	1	Male	Left	Astrocyte	1.193594003	26	Slc1a3
Male_L2-569	0	Male	Left	Neuron	1.70682034	34	Nefl
Male_L2-571	1	Male	Left	Microglia	0.977287582	36	Tmem119
Male_L2-583	0	Male	Left	Neuron	1.937581061	44	Nefl
Male_L2-584	1	Male	Left	Microglia	1.051182726	29	Cd68
Male_L2-592	7	Male	Left	Astrocyte	7.025112651	27	Aldh1l1
Male_L2-632	2	Male	Left	Neuron	3.093072885	22	Gap43
Male_L2-671	0	Male	Left	Microglia	2.367676539	32	Cd68
Male_L2-675	1	Male	Left	Oligodendrocyte	1.655727741	16	Mbp
Male_L2-677	4	Male	Left	Immune	0.775263315	4	Tyrobp
Male_L2-688	4	Male	Left	Neuron	10	1	Rbfox3
Male_L2-689	2	Male	Left	Astrocyte	3.576848137	7	Gfap
Male_L2-698	1	Male	Left	Microglia	0.968536652	30	Cx3cr1
Male_L2-699	3	Male	Left	Endothelial	3.457961946	16	Emcn
Male_L2-703	4	Male	Left	Immune	0.745368271	4	Tyrobp
Male_L2-712	2	Male	Left	Neuron	3.469154725	19	Gap43
Male_L2-720	0	Male	Left	Astrocyte	1.364865265	4	Slc1a3
Male_L2-743	1	Male	Left	Astrocyte	1.768502239	4	Slc1a3
Male_L2-749	0	Male	Left	Microglia	2.671626406	17	Cd40
Male_L2-752	2	Male	Left	Neuron	7.232456494	16	Tubb3
Male_L2-757	0	Male	Left	Reticulocyte	5.319800114	2	Ruvbl1
Male_L2-777	0	Male	Left	Microglia	1.376495612	31	Tmem119
Male_L2-778	2	Male	Left	Astrocyte	1.413990931	36	Slc1a3
Male_L2-783	2	Male	Left	Microglia	2.876451279	25	Cd40
Male_L2-791	13	Male	Left	Astrocyte	0.258119035	1	S100b
Male_L2-793	7	Male	Left	Astrocyte	5.432539283	27	Fgfr3
Male_L2-797	2	Male	Left	Microglia	0.905330782	31	Cd68
Male_L2-804	0	Male	Left	Microglia	1.908578434	40	Cd40
Male_L2-809	6	Male	Left	Oligodendrocyte	1.978532252	1	Mbp
Male_L2-819	0	Male	Left	Oligodendrocyte	2.395131834	35	Mbp
Male_L2-835	7	Male	Left	Neuron	5.195656699	21	Mapt
Male_L2-846	0	Male	Left	Microglia	1.814804274	42	Cd40
Male_L2-860	6	Male	Left	Neuroepithelial	2.982770206	9	Notch1
Male_L2-873	0	Male	Left	Astrocyte	1.258492327	11	Slc1a3
Male_L2-883	0	Male	Left	Microglia	1.62021285	49	Cd68
Male_L2-911	0	Male	Left	Microglia	1.158674792	40	Tmem119
Male_L2-939	8	Male	Left	Neuron	7.123953823	4	Thy1
Male_L2-950	0	Male	Left	Neuron	2.942301739	34	Nefl
Male_L2-952	4	Male	Left	Microglia	1.562627934	6	Tmem119
Male_L2-956	6	Male	Left	Oligodendrocyte	2.969273168	1	Mbp
Male_L2-957	1	Male	Left	Reticulocyte	1.183222766	19	Ruvbl1
Male_L2-969	1	Male	Left	Astrocyte	1.141905588	27	Slc1a3
Male_L2-976	6	Male	Left	Oligodendrocyte	2.698789896	1	Mbp
Male_L2-981	1	Male	Left	Neuron	3.320863351	23	Gap43
Male_L2-994	6	Male	Left	Neuroepithelial	9.985638359	1	Hes1
Male_L2-1000	4	Male	Left	Astrocyte	2.758917948	17	Gfap
Male_L2-1003	2	Male	Left	Neuron	8.859560238	1	Nefl
Male_L2-1006	4	Male	Left	Neuroepithelial	2.49870598	3	Notch1
Male_L2-1013	1	Male	Left	Astrocyte	1.365459043	35	Slc1a3
Male_L2-1016	0	Male	Left	Reticulocyte	1.894339656	48	Ruvbl1
Male_L2-1031	4	Male	Left	Microglia	3.656099263	5	Cd68
Male_L2-1035	2	Male	Left	Astrocyte	1.076160266	22	Slc1a3
Male_L2-1042	6	Male	Left	Neuroepithelial	2.56936205	2	Notch1
Male_L2-1065	4	Male	Left	Reticulocyte	5.101391587	3	Ruvbl1
Male_L2-1067	0	Male	Left	Astrocyte	0.736138206	7	S100b
Male_L2-1078	6	Male	Left	Neuroepithelial	5.062017168	2	Sox2
Male_L2-1085	6	Male	Left	Neuroepithelial	3.672109125	2	Notch1
Male_L2-1094	1	Male	Left	Microglia	0.783653435	5	Cx3cr1
Male_L2-1096	6	Male	Left	Reticulocyte	4.494207785	4	Ruvbl1
Male_L2-1099	6	Male	Left	Endothelial	2.050389044	1	Emcn
Male_L2-1115	4	Male	Left	Immune	1.098089708	11	Tyrobp
Male_L2-1122	11	Male	Left	Ependymal	9.445060383	53	Zmynd10
Male_L2-1125	7	Male	Left	Astrocyte	8.037127151	4	Aldh1l1
Male_L2-1131	2	Male	Left	Microglia	1.808379754	2	Tmem119
Male_L2-1135	3	Male	Left	Neuron	3.99922991	7	Thy1
Male_L2-1142	1	Male	Left	Astrocyte	1.617594664	5	Slc1a3
Male_L2-1143	0	Male	Left	Microglia	2.642130328	15	Cd68
Male_L2-1147	8	Male	Left	Neuron	7.191963794	4	Rbfox3
Male_L2-1168	12	Male	Left	Oligodendrocyte	10	2	Mag
Male_L2-1171	3	Male	Left	Endothelial	3.937041768	19	Emcn
Male_L2-1178	0	Male	Left	Immune	0.953631366	68	Tyrobp
Male_L2-1181	0	Male	Left	Astrocyte	0.987682801	47	Slc1a3
Male_L2-1186	6	Male	Left	Oligodendrocyte	1.407991405	3	Mbp
Male_L2-1187	0	Male	Left	Microglia	1.429768018	44	Tmem119
Male_L2-1188	0	Male	Left	Microglia	1.505756658	46	Cd68
Male_L2-1190	1	Male	Left	Microglia	1.717521866	20	Tmem119
Male_L2-1196	12	Male	Left	Microglia	3.711524673	2	Cd68
Male_L2-1202	6	Male	Left	Oligodendrocyte	3.50144646	2	Mbp
Male_L2-1206	6	Male	Left	Neuroepithelial	8.596063806	2	Hes1
Male_L2-1220	0	Male	Left	Microglia	1.107604347	42	Cd68
Male_L2-1233	0	Male	Left	Astrocyte	5.839683266	4	Aldh1l1
Male_L2-1234	0	Male	Left	Microglia	2.063332951	36	Cd40
